,name,position,age,from_team,to_tam,contract_length,total_salary,avg_salary,year,spotracID,spotracLink
0,Wil Nieves,C,33.2,WSH,MIL,1,775000,775000,2011,5414,https://www.spotrac.com/redirect/player/5414/
1,Albert Pujols,DH,31.8,STL,LAA,10,240000000,24000000,2012,795,https://www.spotrac.com/redirect/player/795/
2,Prince Fielder,DH,27.7,MIL,DET,9,214000000,23777778,2012,493,https://www.spotrac.com/redirect/player/493/
3,Jose Reyes,SS,28.4,NYM,MIA,6,106000000,17666667,2012,559,https://www.spotrac.com/redirect/player/559/
4,C.J. Wilson,SP,31.0,TEX,LAA,5,77500000,15500000,2012,874,https://www.spotrac.com/redirect/player/874/
5,Mark Buehrle,SP,32.7,CHW,MIA,4,58000000,14500000,2012,169,https://www.spotrac.com/redirect/player/169/
6,Jonathan Papelbon,RP,30.9,BOS,PHI,4,50000000,12500000,2012,101,https://www.spotrac.com/redirect/player/101/
7,Aramis Ramirez,3B,33.4,CHC,MIL,3,36000000,12000000,2012,159,https://www.spotrac.com/redirect/player/159/
8,Michael Cuddyer,LF,32.7,MIN,COL,3,31500000,10500000,2012,519,https://www.spotrac.com/redirect/player/519/
9,Heath Bell,RP,34.2,SD,MIA,3,27000000,9000000,2012,661,https://www.spotrac.com/redirect/player/661/
10,Carlos Beltran,DH,34.6,SF,STL,2,26000000,13000000,2012,541,https://www.spotrac.com/redirect/player/541/
11,Josh Willingham,LF,32.8,OAK,MIN,3,21000000,7000000,2012,344,https://www.spotrac.com/redirect/player/344/
12,Coco Crisp,CF,32.2,OAK,OAK,2,14000000,7000000,2012,89,https://www.spotrac.com/redirect/player/89/
13,Rafael Furcal,SS,34.1,STL,STL,2,14000000,7000000,2012,465,https://www.spotrac.com/redirect/player/465/
14,Aaron Harang,SP,33.5,SD,LAD,2,12000000,6000000,2012,216,https://www.spotrac.com/redirect/player/216/
15,Frank Francisco,RP,32.2,TOR,NYM,2,12000000,6000000,2012,5399,https://www.spotrac.com/redirect/player/5399/
16,Edwin Jackson,SP,28.3,STL,WSH,1,11000000,11000000,2012,834,https://www.spotrac.com/redirect/player/834/
17,Aaron Hill,3B,29.6,ARI,ARI,2,11000000,5500000,2012,908,https://www.spotrac.com/redirect/player/908/
18,Clint Barmes,SS,32.7,HOU,PIT,2,10500000,5250000,2012,249,https://www.spotrac.com/redirect/player/249/
19,Chris Capuano,RP,33.2,NYM,LAD,2,10000000,5000000,2012,489,https://www.spotrac.com/redirect/player/489/
20,David DeJesus,LF,31.9,OAK,CHC,2,10000000,5000000,2012,401,https://www.spotrac.com/redirect/player/401/
21,Mark Ellis,2B,34.4,COL,LAD,2,8750000,4375000,2012,615,https://www.spotrac.com/redirect/player/615/
22,Omar Infante,2B,29.8,MIA,MIA,2,8000000,4000000,2012,21,https://www.spotrac.com/redirect/player/21/
23,Carlos Pena,1B,33.7,CHC,TB,1,7250000,7250000,2012,848,https://www.spotrac.com/redirect/player/848/
24,Jamey Carroll,2B,37.7,LAD,MIN,2,6500000,3250000,2012,244,https://www.spotrac.com/redirect/player/244/
25,Ramon Hernandez,C,35.5,CIN,COL,2,6400000,3200000,2012,58,https://www.spotrac.com/redirect/player/58/
26,Luke Scott,DH,33.5,BAL,TB,1,6000000,6000000,2012,76,https://www.spotrac.com/redirect/player/76/
27,Jerry Hairston Jr.,LF,35.5,MIL,LAD,2,6000000,3000000,2012,5221,https://www.spotrac.com/redirect/player/5221/
28,Roy Oswalt,SP,34.8,PHI,TEX,1,5000000,5000000,2012,379,https://www.spotrac.com/redirect/player/379/
29,Grady Sizemore,RF,29.2,CLE,CLE,1,5000000,5000000,2012,361,https://www.spotrac.com/redirect/player/361/
30,Matt Capps,RP,28.2,MIN,MIN,1,4500000,4500000,2012,692,https://www.spotrac.com/redirect/player/692/
31,Juan Rivera,LF,33.3,LAD,LAD,1,4500000,4500000,2012,448,https://www.spotrac.com/redirect/player/448/
32,Alex Gonzalez,SS,34.8,ATL,MIL,1,4250000,4250000,2012,213,https://www.spotrac.com/redirect/player/213/
33,Freddy Garcia,SP,35.2,NYY,NYY,1,4000000,4000000,2012,7461,https://www.spotrac.com/redirect/player/7461/
34,Ramon Santiago,2B,32.2,DET,DET,2,4000000,2000000,2012,305,https://www.spotrac.com/redirect/player/305/
35,Jonathan Broxton,RP,27.4,LAD,KC,1,4000000,4000000,2012,461,https://www.spotrac.com/redirect/player/461/
36,Rod Barajas,C,36.2,LAD,PIT,1,4000000,4000000,2012,905,https://www.spotrac.com/redirect/player/905/
37,Chien-Ming Wang,RP,31.6,WSH,WSH,1,4000000,4000000,2012,599,https://www.spotrac.com/redirect/player/599/
38,Willie Bloomquist,2B,33.9,ARI,ARI,2,3800000,1900000,2012,750,https://www.spotrac.com/redirect/player/750/
39,Jon Rauch,RP,7.8,TOR,NYM,1,3500000,3500000,2012,928,https://www.spotrac.com/redirect/player/928/
40,Ryan Theriot,2B,31.0,STL,SF,1,3300000,3300000,2012,162,https://www.spotrac.com/redirect/player/162/
41,Wilson Betemit,3B,30.2,DET,BAL,2,3250000,1625000,2012,572,https://www.spotrac.com/redirect/player/572/
42,Casey Kotchman,1B,28.9,TB,CLE,1,3000000,3000000,2012,440,https://www.spotrac.com/redirect/player/440/
43,Cody Ross,RF,31.1,SF,BOS,1,3000000,3000000,2012,338,https://www.spotrac.com/redirect/player/338/
44,Ryan Ludwick,LF,33.5,PIT,CIN,1,3000000,3000000,2012,789,https://www.spotrac.com/redirect/player/789/
45,Kerry Wood,RP,34.5,CHC,CHC,1,3000000,3000000,2012,164,https://www.spotrac.com/redirect/player/164/
46,Greg Dobbs,1B,33.5,MIA,MIA,2,3000000,1500000,2012,634,https://www.spotrac.com/redirect/player/634/
47,Octavio Dotel,RP,38.0,STL,DET,1,3000000,3000000,2012,174,https://www.spotrac.com/redirect/player/174/
48,LaTroy Hawkins,RP,38.9,MIL,LAA,1,3000000,3000000,2012,583,https://www.spotrac.com/redirect/player/583/
49,Laynce Nix,RF,31.1,WSH,PHI,2,2500000,1250000,2012,5223,https://www.spotrac.com/redirect/player/5223/
50,Andruw Jones,LF,34.7,NYY,NYY,1,2000000,2000000,2012,468,https://www.spotrac.com/redirect/player/468/
51,Casey Blake,3B,37.2,COL,COL,1,2000000,2000000,2012,239,https://www.spotrac.com/redirect/player/239/
52,Jose Molina,C,36.4,TOR,TB,1,1800000,1800000,2012,590,https://www.spotrac.com/redirect/player/590/
53,Takashi Saito,RP,41.8,MIL,ARI,1,1750000,1750000,2012,481,https://www.spotrac.com/redirect/player/481/
