,name,age,from_team,to_team,avg_salary,year_fa,IDfg,first_played,last_played,pos_1B,pos_2B,pos_3B,pos_C,pos_DH,pos_SS
0,A.J. Ellis,35.6,PHI,MIA,2500000.0,2017,5677,2008.0,2018.0,0,0,0,1,0,0
1,A.J. Pierzynski,37.5,BOS,STL,500000.0,2014,746,1998.0,2016.0,0,0,0,1,0,0
2,A.J. Pierzynski,35.9,CHW,TEX,7500000.0,2013,746,1998.0,2016.0,0,0,0,1,0,0
3,A.J. Pierzynski,37.9,STL,ATL,2000000.0,2015,746,1998.0,2016.0,0,0,0,1,0,0
4,A.J. Pierzynski,38.8,ATL,ATL,3000000.0,2016,746,1998.0,2016.0,0,0,0,1,0,0
5,Aaron Hill,29.6,ARI,ARI,5500000.0,2012,6104,2005.0,2017.0,0,0,1,0,0,0
6,Abraham Almonte,31.3,SD,ATL,990000.0,2021,5486,2013.0,2021.0,0,0,0,0,0,0
7,Adam Duvall,32.4,ATL,MIA,5000000.0,2021,10950,2014.0,2021.0,0,0,0,0,0,0
8,Adam Jones,33.6,BAL,ARI,3000000.0,2019,6368,2006.0,2019.0,0,0,0,0,0,0
9,Adam Kennedy,35.8,SEA,LAD,800000.0,2012,19,1999.0,2012.0,0,1,0,0,0,0
10,Adam LaRoche,35.0,WSH,CHW,12500000.0,2015,1904,2004.0,2015.0,0,0,0,0,1,0
11,Adam LaRoche,33.2,WSH,WSH,12000000.0,2013,1904,2004.0,2015.0,0,0,0,0,1,0
12,Adam Lind,33.5,SEA,WSH,1500000.0,2017,8027,2006.0,2017.0,1,0,0,0,0,0
13,Adam Rosales,33.7,SD,OAK,1250000.0,2017,9682,2008.0,2018.0,0,1,0,0,0,0
14,Adam Rosales,30.4,OAK,TEX,750000.0,2014,9682,2008.0,2018.0,0,1,0,0,0,0
15,Adam Rosales,31.6,TEX,TEX,900000.0,2015,9682,2008.0,2018.0,0,1,0,0,0,0
16,Adeiny Hechavarria,30.8,ATL,ATL,1000000.0,2020,10459,2012.0,2020.0,0,0,0,0,0,1
17,Adrian Gonzalez,35.7,ATL,NYM,545000.0,2018,1908,2004.0,2018.0,1,0,0,0,0,0
18,Albert Almora,26.8,CHC,NYM,1250000.0,2021,14109,2016.0,2021.0,0,0,0,0,0,0
19,Albert Pujols,31.8,STL,LAA,24000000.0,2012,1177,2001.0,2021.0,0,0,0,0,1,0
20,Albert Pujols,41.2,LAA,LAD,570500.0,2021,1177,2001.0,2021.0,0,0,0,0,1,0
21,Alberto Callaspo,31.6,OAK,ATL,3000000.0,2015,3336,2006.0,2015.0,0,0,1,0,0,0
22,Alcides Escobar,31.1,KC,KC,2500000.0,2018,6310,2008.0,2021.0,0,0,0,0,0,1
23,Alex Avila,32.8,ARI,MIN,4250000.0,2020,7476,2009.0,2021.0,0,0,0,1,0,0
24,Alex Avila,33.9,MIN,WSH,1500000.0,2021,7476,2009.0,2021.0,0,0,0,1,0,0
25,Alex Avila,28.8,DET,CHW,2500000.0,2016,7476,2009.0,2021.0,0,0,0,1,0,0
26,Alex Avila,29.8,CHW,DET,2000000.0,2017,7476,2009.0,2021.0,0,0,0,1,0,0
27,Alex Avila,31.0,CHC,ARI,4125000.0,2018,7476,2009.0,2021.0,0,0,0,1,0,0
28,Alex Gonzalez,34.8,ATL,MIL,4250000.0,2012,520,1998.0,2014.0,0,0,0,0,0,1
29,Alex Gonzalez,35.9,MIL,MIL,1450000.0,2013,520,1998.0,2014.0,0,0,0,0,0,1
30,Alex Gordon,31.8,KC,KC,18000000.0,2016,5209,2007.0,2020.0,0,0,0,0,0,0
31,Alex Gordon,35.9,KC,KC,4000000.0,2020,5209,2007.0,2020.0,0,0,0,0,0,0
32,Alex Rios,33.8,TEX,KC,11000000.0,2015,2090,2004.0,2015.0,0,0,0,0,0,0
33,Alexi Amarista,27.7,SD,COL,1250000.0,2017,9063,2011.0,2017.0,0,0,0,0,0,1
34,Andrelton Simmons,31.3,LAA,MIN,10500000.0,2021,10847,2012.0,2021.0,0,0,0,0,0,1
35,Andres Blanco,32.7,PHI,PHI,3000000.0,2017,1907,2004.0,2017.0,0,0,1,0,0,0
36,Andres Torres,34.8,NYM,SF,2000000.0,2013,1488,2002.0,2013.0,0,0,0,0,0,0
37,Andrew McCutchen,32.2,NYY,PHI,16666667.0,2019,9847,2009.0,2021.0,0,0,0,0,0,0
38,Andruw Jones,34.7,NYY,NYY,2000000.0,2012,96,1996.0,2012.0,0,0,0,0,0,0
39,Angel Pagan,31.4,SF,SF,10000000.0,2013,2918,2006.0,2016.0,0,0,0,0,0,0
40,Aramis Ramirez,33.4,CHC,MIL,12000000.0,2012,1002,1998.0,2015.0,0,0,1,0,0,0
41,Asdrubal Cabrera,33.2,PHI,TEX,3500000.0,2019,4962,2007.0,2021.0,0,1,0,0,0,0
42,Asdrubal Cabrera,29.1,WSH,TB,7500000.0,2015,4962,2007.0,2021.0,0,1,0,0,0,0
43,Asdrubal Cabrera,30.0,TB,NYM,9250000.0,2016,4962,2007.0,2021.0,0,1,0,0,0,0
44,Asdrubal Cabrera,35.2,WSH,ARI,1750000.0,2021,4962,2007.0,2021.0,0,1,0,0,0,0
45,Asdrubal Cabrera,34.1,WSH,WSH,2500000.0,2020,4962,2007.0,2021.0,0,1,0,0,0,0
46,Austin Jackson,31.4,TEX,NYM,545000.0,2018,9848,2010.0,2018.0,0,0,0,0,0,0
47,Austin Jackson,29.1,CHC,CHW,5000000.0,2016,9848,2010.0,2018.0,0,0,0,0,0,0
48,Austin Kearns,31.6,CLE,MIA,1300000.0,2012,332,2002.0,2013.0,0,0,0,0,0,0
49,Austin Kearns,32.6,MIA,MIA,700000.0,2013,332,2002.0,2013.0,0,0,0,0,0,0
50,Austin Romine,32.2,DET,CHC,1500000.0,2021,5491,2011.0,2021.0,0,0,0,1,0,0
51,Austin Romine,31.0,NYY,DET,4150000.0,2020,5491,2011.0,2021.0,0,0,0,1,0,0
52,Avisail Garcia,27.6,CHW,TB,3500000.0,2019,5760,2012.0,2021.0,0,0,0,0,0,0
53,Avisail Garcia,28.5,TB,MIL,10000000.0,2020,5760,2012.0,2021.0,0,0,0,0,0,0
54,Avisail Garcia,30.4,MIL,MIA,13250000.0,2022,5760,2012.0,2021.0,0,0,0,0,0,0
55,Ben Revere,28.6,WSH,LAA,4000000.0,2017,4712,2010.0,2017.0,0,0,0,0,0,0
56,Ben Zobrist,34.5,KC,CHC,14000000.0,2016,7435,2006.0,2019.0,0,1,0,0,0,0
57,Bill Hall,33.1,BAL,LAA,500000.0,2013,1605,2002.0,2012.0,0,0,1,0,0,0
58,Bill Hall,32.1,SF,NYY,600000.0,2012,1605,2002.0,2012.0,0,0,1,0,0,0
59,Billy Butler,30.3,OAK,NYY,49914.0,2016,7399,2007.0,2016.0,0,0,0,0,1,0
60,Billy Butler,28.6,KC,OAK,10000000.0,2015,7399,2007.0,2016.0,0,0,0,0,1,0
61,Billy Hamilton,28.2,CIN,KC,5250000.0,2019,10199,2013.0,2021.0,0,0,0,0,0,0
62,Bobby Abreu,38.1,LAA,LAD,401311.0,2012,945,1996.0,2014.0,0,0,0,0,0,0
63,Bobby Wilson,31.7,ARI,TB,700000.0,2015,6564,2008.0,2019.0,0,0,0,1,0,0
64,Brad Miller,31.2,PHI,PHI,3500000.0,2021,12775,2013.0,2021.0,0,1,0,0,0,0
65,Brandon Inge,35.7,OAK,PIT,1250000.0,2013,470,2001.0,2013.0,0,0,1,0,0,0
66,Brandon Inge,34.9,DET,OAK,414066.0,2012,470,2001.0,2013.0,0,0,1,0,0,0
67,Brandon Moss,33.3,STL,KC,6000000.0,2017,4467,2007.0,2017.0,0,0,0,0,1,0
68,Brayan Pena,30.9,KC,DET,875000.0,2013,3231,2005.0,2016.0,0,0,0,1,0,0
69,Brayan Pena,31.8,DET,CIN,1137500.0,2014,3231,2005.0,2016.0,0,0,0,1,0,0
70,Brayan Pena,33.8,CIN,STL,2500000.0,2016,3231,2005.0,2016.0,0,0,0,1,0,0
71,Brennan Boesch,28.8,NYY,LAA,800000.0,2014,914,2010.0,2015.0,0,0,0,0,0,0
72,Brett Gardner,37.4,NYY,NYY,2575000.0,2021,9927,2008.0,2021.0,0,0,0,0,0,0
73,Brett Gardner,36.2,NYY,NYY,12500000.0,2020,9927,2008.0,2021.0,0,0,0,0,0,0
