,name,position,age,from_team,to_tam,contract_length,total_salary,avg_salary,year
0,Wil Nieves,C,33.2,WSH,MIL,1,775000,775000,2011
1,Albert Pujols,DH,31.8,STL,LAA,10,240000000,24000000,2012
2,Prince Fielder,DH,27.7,MIL,DET,9,214000000,23777778,2012
3,Jose Reyes,SS,28.4,NYM,MIA,6,106000000,17666667,2012
4,C.J. Wilson,SP,31.0,TEX,LAA,5,77500000,15500000,2012
5,Mark Buehrle,SP,32.7,CHW,MIA,4,58000000,14500000,2012
6,Jonathan Papelbon,RP,30.9,BOS,PHI,4,50000000,12500000,2012
7,Aramis Ramirez,3B,33.4,CHC,MIL,3,36000000,12000000,2012
8,Michael Cuddyer,LF,32.7,MIN,COL,3,31500000,10500000,2012
9,Heath Bell,RP,34.2,SD,MIA,3,27000000,9000000,2012
10,Carlos Beltran,DH,34.6,SF,STL,2,26000000,13000000,2012
11,Josh Willingham,LF,32.8,OAK,MIN,3,21000000,7000000,2012
12,Coco Crisp,CF,32.2,OAK,OAK,2,14000000,7000000,2012
13,Rafael Furcal,SS,34.1,STL,STL,2,14000000,7000000,2012
14,Aaron Harang,SP,33.5,SD,LAD,2,12000000,6000000,2012
15,Frank Francisco,RP,32.2,TOR,NYM,2,12000000,6000000,2012
16,Edwin Jackson,SP,28.3,STL,WSH,1,11000000,11000000,2012
17,Aaron Hill,3B,29.6,ARI,ARI,2,11000000,5500000,2012
18,Clint Barmes,SS,32.7,HOU,PIT,2,10500000,5250000,2012
19,Chris Capuano,RP,33.2,NYM,LAD,2,10000000,5000000,2012
20,David DeJesus,LF,31.9,OAK,CHC,2,10000000,5000000,2012
21,Mark Ellis,2B,34.4,COL,LAD,2,8750000,4375000,2012
22,Omar Infante,2B,29.8,MIA,MIA,2,8000000,4000000,2012
23,Carlos Pena,1B,33.7,CHC,TB,1,7250000,7250000,2012
24,Jamey Carroll,2B,37.7,LAD,MIN,2,6500000,3250000,2012
25,Ramon Hernandez,C,35.5,CIN,COL,2,6400000,3200000,2012
26,Luke Scott,DH,33.5,BAL,TB,1,6000000,6000000,2012
27,Jerry Hairston Jr.,LF,35.5,MIL,LAD,2,6000000,3000000,2012
28,Roy Oswalt,SP,34.8,PHI,TEX,1,5000000,5000000,2012
29,Grady Sizemore,RF,29.2,CLE,CLE,1,5000000,5000000,2012
30,Matt Capps,RP,28.2,MIN,MIN,1,4500000,4500000,2012
31,Juan Rivera,LF,33.3,LAD,LAD,1,4500000,4500000,2012
32,Alex Gonzalez,SS,34.8,ATL,MIL,1,4250000,4250000,2012
33,Freddy Garcia,SP,35.2,NYY,NYY,1,4000000,4000000,2012
34,Ramon Santiago,2B,32.2,DET,DET,2,4000000,2000000,2012
35,Jonathan Broxton,RP,27.4,LAD,KC,1,4000000,4000000,2012
36,Rod Barajas,C,36.2,LAD,PIT,1,4000000,4000000,2012
37,Chien-Ming Wang,RP,31.6,WSH,WSH,1,4000000,4000000,2012
38,Willie Bloomquist,2B,33.9,ARI,ARI,2,3800000,1900000,2012
39,Jon Rauch,RP,7.8,TOR,NYM,1,3500000,3500000,2012
40,Ryan Theriot,2B,31.0,STL,SF,1,3300000,3300000,2012
41,Wilson Betemit,3B,30.2,DET,BAL,2,3250000,1625000,2012
42,Casey Kotchman,1B,28.9,TB,CLE,1,3000000,3000000,2012
43,Cody Ross,RF,31.1,SF,BOS,1,3000000,3000000,2012
44,Ryan Ludwick,LF,33.5,PIT,CIN,1,3000000,3000000,2012
45,Kerry Wood,RP,34.5,CHC,CHC,1,3000000,3000000,2012
46,Greg Dobbs,1B,33.5,MIA,MIA,2,3000000,1500000,2012
47,Octavio Dotel,RP,38.0,STL,DET,1,3000000,3000000,2012
48,LaTroy Hawkins,RP,38.9,MIL,LAA,1,3000000,3000000,2012
49,Laynce Nix,RF,31.1,WSH,PHI,2,2500000,1250000,2012
50,Andruw Jones,LF,34.7,NYY,NYY,1,2000000,2000000,2012
